var,coef,p,n_obs,n_pac,q_BH,sig_BH
GGT,0.016029262327556602,0.38894158476267315,405,100,0.6409043898512534,False
AST,0.0074693527549909286,0.48032249609026056,402,100,0.6492965844481192,False
ALT,0.013179834807619698,0.35830184761610284,406,100,0.6409043898512534,False
VCM,0.001598241192939049,0.3696015472269505,454,100,0.6409043898512534,False
HBA1C,0.0015260912201237686,0.5312426600030067,424,100,0.6492965844481192,False
GLICOSE,-0.0007047250331533214,0.9103331515064808,356,98,0.9103331515064808,False
HEMO,0.004081328885687923,0.14464070609482613,454,100,0.6409043898512534,False
PLT,0.010393077557771475,0.15028337303500228,454,100,0.6409043898512534,False
TG,0.005779585258064358,0.6215502168819447,401,100,0.6837052385701392,False
HDL,0.006440600742756196,0.40784824808716125,410,100,0.6409043898512534,False
LDL,0.010456255845554511,0.24942373219667235,409,100,0.6409043898512534,False
